Star Number,Star Name,Durchmusterung Identification,RA (degrees),Dec (degrees),Parallax (arsec),Distance (parsecs),X (parsecs),Y (parsecs),Z (parsecs)
3,33    Psc,BD-06 6357,0.08891666666666666,-5.7075000000000005,0.014,71.42857142857143,71.07438302158587,0.11029961282918133,-7.103571525848536
5,,BD+57 2865,0.10444444444444445,58.43666666666666,0.047,21.27659574468085,11.137018359893016,0.020301687029594614,18.128980566360617
6,,CD-4914337,0.10527777777777779,-49.075,0.05,20.0,13.101388976967971,0.024073093712461906,-15.111354253022501
8,,BD+28 4704,0.11022222222222222,29.02138888888889,0.067,14.925373134328357,13.05129918732216,0.0251073462324454,7.240837129994003
15,21Alp And,BD+28    4,0.13980555555555554,29.090555555555554,0.032,31.25,27.307805488568636,0.06663301427662514,15.19347950404742
17,,BD+35    8,0.14472222222222222,36.626666666666665,0.044,22.72727272727273,18.239484828737915,0.046070834759261645,13.559055877171495
20,,BD+78    1,0.15561111111111112,79.71472222222222,0.002,500.0,89.27437010630916,0.24246320062897925,491.9654744529519
21,11Bet Cas,BD+58    3,0.1529722222222222,59.14972222222222,0.072,13.88888888888889,7.122147058967307,0.01901524441368004,11.923753362881358
24,Kap1Scl,CD-28   16,0.15583333333333332,-27.98777777777778,0.023,43.47826086956522,38.39323710495658,0.10442236616790626,-20.40361754233781
25,Eps Phe,CD-46   18,0.15686111111111112,-45.7475,0.066,15.15151515151515,10.573016645124785,0.028946273119269013,-10.852598422579726
33,6    Cet,BD-16   17,0.18775,-15.468055555555555,0.067,14.925373134328357,14.384688417202964,0.047136716524737325,-3.980613077011234
35,The Scl,CD-35   42,0.19555555555555554,-35.13305555555556,0.034,29.41176470588235,24.053325913157916,0.08209644439679759,-16.925799118606193
41,23    And,BD+40   29,0.22522222222222224,41.03527777777778,0.024,41.666666666666664,31.429152717364694,0.12354452869893832,27.355149557790885
45,89Chi Peg,BD+19   27,0.2433888888888889,20.206666666666667,0.015,66.66666666666667,62.56295813144442,0.2657651329002443,23.02715968550425
46,,BD-08   26,0.241,-7.780555555555556,0.003,333.3333333333333,330.2616921215105,1.389169287523784,-45.126444983382676
48,7    Cet,BD-19   21,0.244,-18.93277777777778,0.029,34.48275862068965,32.61694207008396,0.13890345928243636,-11.188227648673086
63,24The And,BD+37   34,0.2848611111111111,38.681666666666665,0.022,45.45454545454546,35.48276285032139,0.17641338715371263,28.408768387665532
68,25Sig And,BD+35   44,0.3054722222222222,36.78527777777778,0.023,43.47826086956522,34.82060356006429,0.18564766938527244,26.03555781806212
72,,BD-08   38,0.3116111111111111,-8.052777777777779,0.053,18.867924528301888,18.68160011990625,0.10160349710701574,-2.6431174198265097
74,8Iot Cet,BD-09   48,0.32380555555555557,-8.823888888888888,0.013,76.92307692307692,76.01144070378498,0.4295811844576103,-11.799834975733669
77,Zet Tuc,CP-65   13,0.33452777777777776,-64.87472222222222,0.134,7.462686567164178,3.1685945042033086,0.01850040146171742,-6.756578823843545
82,27Rho And,BD+37   45,0.3520277777777778,37.968611111111116,0.017,58.8235294117647,46.37253172080981,0.2849184502785112,36.18998115136185
83,Pi  Tuc,CP-70   12,0.3441666666666666,-69.625,0.011,90.90909090909092,31.650615138082017,0.19012251547669423,-85.22127213746272
84,Iot Scl,CD-29   86,0.35866666666666663,-28.981666666666666,0.027,37.03703703703704,32.398431506225066,0.20281405227888397,-17.945545822835662
88,9    Cet,BD-13   60,0.38105555555555554,-12.209444444444443,0.049,20.408163265306122,19.946110847290246,0.1326570382357415,-4.316038929528687
93,12    Cas,BD+61   69,0.4131944444444445,61.83111111111111,0.015,66.66666666666667,31.47065863825008,0.22695784668385666,58.77066087304966
98,Bet Hyi,CP-77   16,0.4291944444444445,-77.25416666666666,0.153,6.5359477124183005,1.4419628468783172,0.010801738352513553,-6.374891290848586
99,Alp Phe,CD-42  116,0.4380555555555556,-42.30611111111111,0.035,28.57142857142857,21.129648370978718,0.1615501226713493,-19.231182800049147
100,Kap Phe,CD-44  101,0.43672222222222223,-43.68,0.072,13.88888888888889,10.04426745472384,0.07656130684500424,-9.592083414575319
103,47    Psc,BD+17   55,0.46747222222222223,17.893055555555556,0.016,62.5,59.47499847308119,0.48526308368290605,19.20257994037792
104,,BD+43   92,0.47047222222222224,44.394444444444446,0.013,76.92307692307692,54.96280220283537,0.4513256141876316,53.814927692189485
107,,BD+09   47,0.47225,10.189722222222223,0.033,30.3030303030303,29.82405835873086,0.24582492172218165,5.360854285396017
109,,CD-40   93,0.47400000000000003,-39.915,0.015,66.66666666666667,51.13139652173725,0.423012568894193,-42.7766968634545
112,,BD+76   10,0.5152777777777777,77.01944444444445,0.023,43.47826086956522,9.76570810122044,0.08782824981160474,42.36723261817154
114,28    And,BD+28   75,0.5020277777777777,29.751666666666665,0.001,1000.0,868.1510532904281,7.60696689402124,496.24175834505667
118,,CD-24  179,0.5063055555555556,-23.78777777777778,0.018,55.55555555555556,50.83388911366539,0.4492154680748291,-22.408339432658387
123,14Lam Cas,BD+53   82,0.5295555555555556,54.52222222222222,0.03,33.333333333333336,19.34541224564867,0.17880483227023355,27.14468944359052
124,,BD+52   92,0.5281111111111112,52.839444444444446,0.008,125.0,75.50311910890744,0.6959529255225412,99.61824458577652
125,Lam1Phe,CD-49  115,0.5236111111111111,-48.80361111111111,0.027,37.03703703703704,24.39313087843221,0.2229286354979123,-27.868756363605563
126,Bet1Tuc,CP-63   50,0.52575,-62.95805555555556,0.03,33.333333333333336,15.15411718683806,0.13905912096413012,-29.68913110819458
127,Bet2Tuc,CP-63   50,0.526,-62.965833333333336,0.03,33.333333333333336,15.150086375010218,0.139088243211671,-29.691188059783684
131,52    Psc,BD+19   79,0.5431944444444444,20.294444444444448,0.032,31.25,29.308763121380405,0.2778709781063037,10.838897177035038
134,,BD+27   84,0.5469722222222222,28.280277777777776,0.006,166.66666666666666,146.7667271025066,1.4011461635465945,78.96418417754037
136,Bet3Tuc,CP-63   52,0.5455,-63.03111111111111,0.049,20.408163265306122,9.254817757299227,0.08811566359164985,-18.18883481074032
140,,CP-53  117,0.5743888888888888,-52.37305555555555,0.038,26.315789473684212,16.065447567996916,0.16106114274465508,-20.842174295680106
142,13    Cet,BD-04   62,0.5874722222222223,-3.592777777777778,0.06,16.666666666666668,16.633036229662757,0.17054989529448725,-1.0444119367945517
145,,BD+12   59,0.5985277777777778,13.206666666666665,0.02,50.0,48.674960379843164,0.5084907803958714,11.423207480692533
152,,BD+43  113,0.6129444444444444,44.48861111111111,0.007,142.85714285714286,101.90699082255202,1.0902322542276661,100.1096392982727
153,17Zet Cas,BD+53  105,0.6161944444444444,53.89694444444444,0.004,250.0,147.3013425674562,1.5842313217838253,201.9896152997574
